,start_station_name,value
37,Grove St PATH,42455
75,South Waterfront Walkway - Sinatra Dr & 1 St,34130
44,Hoboken Terminal - River St & Hudson Pl,32899
43,Hoboken Terminal - Hudson St & Hudson Pl,30165
22,City Hall - Washington St & 1 St,23214
69,Newport Pkwy,21907
38,Hamilton Park,20431
68,Newport PATH,19917
42,Hoboken Ave at Monmouth St,19446
61,Marin Light Rail,19167
1,12 St & Sinatra Dr N,17060
2,14 St Ferry - 14 St & Shipyard Ln,16994
25,Columbus Dr at Exchange Pl,16676
45,Hudson St & 4 St,15828
39,Harborside,15723
0,11 St & Washington St,15460
81,Washington St,15064
54,Liberty Light Rail,14493
7,8 St & Washington St,14385
57,Madison St & 1 St,14098
